"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\lewis\code\space_men\Assets\Scripts\Behaviours\StandardBehaviour.cs", "C#", 62, 0, 5, 67
"c:\Users\lewis\code\space_men\Assets\Scripts\Bin\CampaignUITester.cs", "C#", 9, 54, 9, 72
"c:\Users\lewis\code\space_men\Assets\Scripts\Bin\Settings.cs", "C#", 7, 0, 2, 9
"c:\Users\lewis\code\space_men\Assets\Scripts\Bin\TestBed.cs", "C#", 51, 0, 11, 62
"c:\Users\lewis\code\space_men\Assets\Scripts\Bin\TracerEffect.cs", "C#", 9, 0, 3, 12
"c:\Users\lewis\code\space_men\Assets\Scripts\Bin\Tutorial.cs", "C#", 43, 0, 7, 50
"c:\Users\lewis\code\space_men\Assets\Scripts\Bin\TutorialPopup.cs", "C#", 11, 0, 4, 15
"c:\Users\lewis\code\space_men\Assets\Scripts\Bin\WeaponData.cs", "C#", 7, 0, 0, 7
"c:\Users\lewis\code\space_men\Assets\Scripts\Classes\Campaign.cs", "C#", 38, 1, 3, 42
"c:\Users\lewis\code\space_men\Assets\Scripts\Classes\Dependency.cs", "C#", 3, 0, 1, 4
"c:\Users\lewis\code\space_men\Assets\Scripts\Classes\DependencyInjector.cs", "C#", 56, 0, 10, 66
"c:\Users\lewis\code\space_men\Assets\Scripts\Classes\EventListener.cs", "C#", 11, 0, 4, 15
"c:\Users\lewis\code\space_men\Assets\Scripts\Classes\GameEvents.cs", "C#", 32, 0, 12, 44
"c:\Users\lewis\code\space_men\Assets\Scripts\Classes\GameplayOperations.cs", "C#", 252, 6, 21, 279
"c:\Users\lewis\code\space_men\Assets\Scripts\Classes\MakeObject.cs", "C#", 3, 0, 1, 4
"c:\Users\lewis\code\space_men\Assets\Scripts\Classes\MapGenerator.cs", "C#", 229, 6, 34, 269
"c:\Users\lewis\code\space_men\Assets\Scripts\Classes\MapIteration.cs", "C#", 64, 0, 11, 75
"c:\Users\lewis\code\space_men\Assets\Scripts\Classes\MapLayout.cs", "C#", 114, 0, 17, 131
"c:\Users\lewis\code\space_men\Assets\Scripts\Classes\MapPathing.cs", "C#", 105, 0, 11, 116
"c:\Users\lewis\code\space_men\Assets\Scripts\Classes\Mission.cs", "C#", 34, 0, 10, 44
"c:\Users\lewis\code\space_men\Assets\Scripts\Classes\SoldierNameGenerator.cs", "C#", 14, 0, 4, 18
"c:\Users\lewis\code\space_men\Assets\Scripts\DataObjects\AlienUnlocks.cs", "C#", 9, 0, 3, 12
"c:\Users\lewis\code\space_men\Assets\Scripts\DataObjects\BtnData.cs", "C#", 8, 0, 1, 9
"c:\Users\lewis\code\space_men\Assets\Scripts\DataObjects\DamageType.cs", "C#", 6, 0, 0, 6
"c:\Users\lewis\code\space_men\Assets\Scripts\DataObjects\EnemyProfileSet.cs", "C#", 104, 8, 15, 127
"c:\Users\lewis\code\space_men\Assets\Scripts\DataObjects\EnemySpawnTracker.cs", "C#", 5, 0, 1, 6
"c:\Users\lewis\code\space_men\Assets\Scripts\DataObjects\Inventory.cs", "C#", 17, 0, 4, 21
"c:\Users\lewis\code\space_men\Assets\Scripts\DataObjects\InventoryItem.cs", "C#", 17, 0, 5, 22
"c:\Users\lewis\code\space_men\Assets\Scripts\DataObjects\MetaSoldier.cs", "C#", 22, 0, 3, 25
"c:\Users\lewis\code\space_men\Assets\Scripts\DataObjects\MetaSquad.cs", "C#", 48, 0, 9, 57
"c:\Users\lewis\code\space_men\Assets\Scripts\DataObjects\PlayerSave.cs", "C#", 37, 0, 7, 44
"c:\Users\lewis\code\space_men\Assets\Scripts\DataObjects\Point.cs", "C#", 19, 0, 7, 26
"c:\Users\lewis\code\space_men\Assets\Scripts\DataObjects\Trait.cs", "C#", 4, 0, 0, 4
"c:\Users\lewis\code\space_men\Assets\Scripts\DomainReload.cs", "C#", 20, 0, 5, 25
"c:\Users\lewis\code\space_men\Assets\Scripts\Interfaces\IInstantiator.cs", "C#", 5, 0, 2, 7
"c:\Users\lewis\code\space_men\Assets\Scripts\Interfaces\IMask.cs", "C#", 4, 0, 2, 6
"c:\Users\lewis\code\space_men\Assets\Scripts\Interfaces\IWeighted.cs", "C#", 3, 0, 0, 3
"c:\Users\lewis\code\space_men\Assets\Scripts\Interfaces\PriorityQueue.cs", "C#", 498, 308, 146, 952
"c:\Users\lewis\code\space_men\Assets\Scripts\Main.cs", "C#", 41, 1, 15, 57
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\Actor.cs", "C#", 116, 0, 18, 134
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\Alien.cs", "C#", 114, 0, 18, 132
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\AmmoCrate.cs", "C#", 2, 0, 1, 3
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\AmmoGauge.cs", "C#", 28, 0, 6, 34
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\AmmoIcon.cs", "C#", 9, 0, 3, 12
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\AudioPlayer.cs", "C#", 15, 0, 5, 20
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\Chest.cs", "C#", 8, 0, 3, 11
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\Controllers\AnimationManager.cs", "C#", 23, 0, 6, 29
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\Controllers\BloodSplatController.cs", "C#", 39, 0, 12, 51
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\Controllers\CameraController.cs", "C#", 43, 0, 9, 52
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\Controllers\DebugController.cs", "C#", 8, 0, 2, 10
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\Controllers\FogManager.cs", "C#", 20, 0, 4, 24
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\Controllers\InterfaceController.cs", "C#", 44, 0, 10, 54
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\Controllers\MapHighlighter.cs", "C#", 32, 0, 11, 43
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\Controllers\MapInputController.cs", "C#", 110, 9, 15, 134
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\Controllers\MapMarkerController.cs", "C#", 36, 0, 10, 46
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\Controllers\SFXLayer.cs", "C#", 55, 0, 11, 66
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\Door.cs", "C#", 18, 0, 5, 23
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\Fire.cs", "C#", 19, 0, 6, 25
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\HealthIndicator.cs", "C#", 17, 0, 6, 23
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\HiveMind.cs", "C#", 161, 3, 26, 190
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\ItemReward.cs", "C#", 6, 0, 3, 9
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\Loot.cs", "C#", 5, 0, 1, 6
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\LootGenerator.cs", "C#", 39, 0, 8, 47
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\LootSpawner.cs", "C#", 13, 0, 5, 18
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\Map.cs", "C#", 112, 0, 17, 129
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\MapInstantiator.cs", "C#", 223, 4, 27, 254
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\RoomTemplate.cs", "C#", 38, 0, 8, 46
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\RoomTemplateTile.cs", "C#", 25, 0, 3, 28
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\ScriptableObjects\AlienAudioProfile.cs", "C#", 10, 0, 2, 12
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\ScriptableObjects\AlienData.cs", "C#", 29, 0, 5, 34
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\ScriptableObjects\Armour.cs", "C#", 53, 0, 11, 64
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\ScriptableObjects\AudioClipProfile.cs", "C#", 7, 0, 1, 8
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\ScriptableObjects\AudioCollection.cs", "C#", 7, 0, 2, 9
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\ScriptableObjects\EnemyProfile.cs", "C#", 76, 0, 11, 87
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\ScriptableObjects\MapBlueprint.cs", "C#", 12, 0, 1, 13
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\ScriptableObjects\TutorialText.cs", "C#", 16, 0, 5, 21
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\ScriptableObjects\Weapon.cs", "C#", 52, 0, 9, 61
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\ScriptableObjects\WeaponAudioProfile.cs", "C#", 9, 0, 3, 12
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\Soldier.cs", "C#", 190, 0, 23, 213
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\Spawner.cs", "C#", 13, 0, 6, 19
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\StartLocation.cs", "C#", 13, 0, 5, 18
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\Terminal.cs", "C#", 11, 0, 3, 14
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\Tile.cs", "C#", 93, 0, 23, 116
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\TurnCounter.cs", "C#", 32, 0, 10, 42
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UIState.cs", "C#", 21, 0, 5, 26
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\AbilityIcon.cs", "C#", 17, 0, 4, 21
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\AbilityInfoPanel.cs", "C#", 24, 0, 6, 30
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\AlienIcon.cs", "C#", 13, 0, 5, 18
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\AlienInfoCampaignComponent.cs", "C#", 20, 0, 8, 28
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\BenchComponent.cs", "C#", 83, 0, 14, 97
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\ButtonHandler.cs", "C#", 38, 0, 10, 48
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\CampaignUI.cs", "C#", 27, 0, 10, 37
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\InformationPanel.cs", "C#", 9, 0, 3, 12
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\LoadingComponent.cs", "C#", 11, 0, 3, 14
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\MainMenuComponent.cs", "C#", 13, 0, 4, 17
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\MissionPreview.cs", "C#", 14, 0, 4, 18
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\ModalPopup.cs", "C#", 40, 0, 10, 50
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\NotificationPopup.cs", "C#", 40, 0, 8, 48
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\ObjectiveComponent.cs", "C#", 26, 0, 8, 34
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\ObjectivesPanel.cs", "C#", 35, 0, 9, 44
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\SettingsMenu.cs", "C#", 32, 0, 9, 41
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\SideModal.cs", "C#", 16, 0, 5, 21
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\SoldierComponent.cs", "C#", 67, 0, 11, 78
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\SoldierIcon.cs", "C#", 27, 1, 7, 35
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\SoldierIconHeader.cs", "C#", 24, 0, 9, 33
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\SoldierProfileIcon.cs", "C#", 12, 0, 3, 15
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\Toggle.cs", "C#", 17, 0, 7, 24
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\UIAnimator.cs", "C#", 100, 0, 20, 120
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\UIManager.cs", "C#", 17, 0, 6, 23
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\UI\WorkshopComponent.cs", "C#", 121, 0, 20, 141
"c:\Users\lewis\code\space_men\Assets\Scripts\Monobehaviours\Vent.cs", "C#", 2, 0, 1, 3
"c:\Users\lewis\code\space_men\Assets\Scripts\Objectives\ActivateTerminal.cs", "C#", 51, 0, 10, 61
"c:\Users\lewis\code\space_men\Assets\Scripts\Objectives\GetToTarget.cs", "C#", 29, 0, 6, 35
"c:\Users\lewis\code\space_men\Assets\Scripts\Objectives\GrabTheLoot.cs", "C#", 14, 0, 4, 18
"c:\Users\lewis\code\space_men\Assets\Scripts\Objectives\Objective.cs", "C#", 11, 0, 1, 12
"c:\Users\lewis\code\space_men\Assets\Scripts\Objectives\Objectives.cs", "C#", 94, 0, 21, 115
"c:\Users\lewis\code\space_men\Assets\Scripts\Objectives\WaveDefence.cs", "C#", 54, 0, 8, 62
"c:\Users\lewis\code\space_men\Assets\Scripts\ParticleBurst.cs", "C#", 21, 0, 6, 27
"c:\Users\lewis\code\space_men\Assets\Scripts\Tracer.cs", "C#", 30, 0, 9, 39
"c:\Users\lewis\code\space_men\Assets\Scripts\Util\Extensions.cs", "C#", 68, 0, 9, 77
"c:\Users\lewis\code\space_men\Assets\Scripts\Util\GaussianNumber.cs", "C#", 10, 0, 2, 12
"c:\Users\lewis\code\space_men\Assets\Scripts\Util\MathUtil.cs", "C#", 18, 0, 2, 20
"c:\Users\lewis\code\space_men\Assets\Scripts\Util\Noise.cs", "C#", 272, 90, 50, 412
"Total", "-", 6179, 499, 1248, 7926
